source_id,metric,metric_label,latest_time_s,latest_value_w
viscosity_screening_salt_test_2_jin_coarse_mesh,cooling_branch_total_removal_w,Cooling branch total heat removal,2432.0,136.3507399
viscosity_screening_salt_test_2_jin_coarse_mesh,cooling_branch_excess_w,Cooling branch excess over operating cooling duty,2432.0,80.0107399
viscosity_screening_salt_test_2_jin_coarse_mesh,net_total_q_w,Net total wall heat,2432.0,0.36200464559998835
viscosity_screening_salt_test_2_jin_coarse_mesh,section_downcomer_net_q_w,Downcomer net wall heat,2432.0,-23.022580644
viscosity_screening_salt_test_2_jin_coarse_mesh,section_heater_net_q_w,Heater net wall heat,2432.0,243.59637937000002
viscosity_screening_salt_test_2_jin_coarse_mesh,section_upcomer_net_q_w,Upcomer net wall heat,2432.0,-20.001287434800002
viscosity_screening_salt_test_2_jin_coarse_mesh,section_test_section_net_q_w,Test-section net wall heat,2432.0,-5.499522598
viscosity_screening_salt_test_2_jin_coarse_mesh,section_cooling_branch_net_q_w,Cooling branch net wall heat,2432.0,-136.3507399
viscosity_screening_salt_test_2_jin_coarse_mesh,section_upper_transport_net_q_w,Upper transport net wall heat,2432.0,-12.318511763100002
viscosity_screening_salt_test_2_jin_coarse_mesh,section_lower_transport_net_q_w,Lower transport net wall heat,2432.0,-6.6431023273
viscosity_screening_salt_test_2_jin_coarse_mesh,section_junctions_net_q_w,Junction-region net wall heat,2432.0,-39.3986300572
viscosity_screening_salt_test_2_jin_coarse_mesh,section_other_net_q_w,Other net wall heat,2432.0,0.0
viscosity_screening_salt_test_2_kirst_coarse_mesh,ambient_proxy_w,Derived ambient-loss proxy,586.560241,188.09286214599
viscosity_screening_salt_test_2_kirst_coarse_mesh,ambient_noncooling_proxy_w,Ambient-loss proxy excluding cooling branch excess,586.560241,108.08212226599001
viscosity_screening_salt_test_2_kirst_coarse_mesh,cooling_branch_total_removal_w,Cooling branch total heat removal,586.560241,136.35073988
viscosity_screening_salt_test_2_kirst_coarse_mesh,cooling_branch_excess_w,Cooling branch excess over operating cooling duty,586.560241,80.01073987999999
viscosity_screening_salt_test_2_kirst_coarse_mesh,net_total_q_w,Net total wall heat,586.560241,-0.7733511059899865
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_downcomer_net_q_w,Downcomer net wall heat,586.560241,-22.847201978
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_heater_net_q_w,Heater net wall heat,586.560241,243.65951103999998
