source_id,case_label,run_status,comparison_ready,late_window_time_start_s,late_window_time_end_s,late_window_time_count,primary_frozen_state_basis,sensitivity_snapshot_basis,package_root,downcomer_to_upcomer_bulk_delta_k,heater_to_cooler_bulk_delta_k
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,running,comparison_candidate,8598.0,8602.0,5.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar,-0.9592777039966904,-2.6709262416013644
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,terminated,convergence_audit_required,3226.0,3229.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh,-1.1571887360198048,-3.1326514046207308
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,completed,comparison_candidate,3276.0,3279.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh,-1.1871014759597642,-3.227299370862852
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,terminated,convergence_audit_required,2428.0,2431.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh,-0.9992771021637168,-2.7814000157763417
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,completed,comparison_candidate,583.0,586.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh,-1.0569002968770178,-3.004032578167596
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,terminated,convergence_audit_required,2511.0,2514.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh,-0.961943651624324,-2.6972605658564817
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,terminated,convergence_audit_required,3294.0,3297.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh,-1.0118008568969117,-2.8939889006684325
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,terminated,convergence_audit_required,2079.0,2082.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh,-0.9214487933637088,-2.6282453912551205
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,terminated,convergence_audit_required,2980.0,2983.0,4.0,late_window_mean,latest_retained_time,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh,-0.9788629328095908,-2.8419138232964087
