source_id,case_label,branch_name,mean_q_enthalpy_w,mean_q_wall_total_w,mean_q_intended_transfer_w,mean_q_external_or_loss_w,mean_q_sink_or_cooling_w,mean_q_junction_or_unresolved_w,mean_q_residual_w,fit_use_status
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,left_lower_leg,-4.466717804464244,-7.956422195950614,nan,-7.956422195950614,nan,0.0,3.489704391486371,sensitivity_only
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,left_upper_leg,-4.096853445356745,-9.269180785574827,nan,-9.269180785574827,nan,0.0,5.1723273402180805,sensitivity_only
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,lower_leg,-148.55342758979413,213.046609368838,244.63103743642014,-6.378348010058675,0.0,-25.20608005752343,-361.60003695863213,excluded
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,right_leg,-190.28658664053472,-22.21129312630601,nan,-22.21129312630601,nan,0.0,-168.07529351422872,excluded
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,test_section_span,9.919072529195303,-9.4849213845855,-7.45846937053666,-2.0264520140488314,-7.45846937053666,0.0,19.403993913780802,sensitivity_only
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,upcomer,1.355501279374314,-26.71052436611094,-7.45846937053666,-19.25205499557427,-7.45846937053666,0.0,28.06602564548525,sensitivity_only
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,upper_leg,148.70741606730263,-148.21172048940315,-136.35073995093504,-11.860980538468016,-136.35073995093504,0.0,296.9191365567057,excluded
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_lower_leg,-2.7391324984849366,-7.070527088427061,nan,-7.070527088427061,nan,0.0,4.331394589942123,sensitivity_only
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_upper_leg,-2.3930889898696277,-8.297821087578967,nan,-8.297821087578967,nan,0.0,5.904732097709341,sensitivity_only
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,lower_leg,-144.5582067340766,185.4898940652431,213.150391439223,-5.728856109203362,0.0,-21.931641264776523,-330.04810079931974,excluded
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,-174.12391072833248,-19.814255781360654,nan,-19.814255781360654,nan,0.0,-154.30965494697182,excluded
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,4.18841252536566,-1.0907093622740889,0.747429572455622,-1.8381389347297108,-0.28828247588375944,-5.551115123125783e-17,5.279121887639748,sensitivity_only
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upcomer,-0.9438089629889054,-16.45905753828012,0.747429572455622,-17.20648711073574,-0.28828247588375944,0.0,15.515248575291212,sensitivity_only
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,144.76972811748064,-146.23177440030656,-135.60317791625533,-10.628596484051185,-135.60317791625533,0.0,291.0015025177872,excluded
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,left_lower_leg,-3.550177849014893,-7.056721181265741,nan,-7.056721181265741,nan,0.0,3.5065433322508475,sensitivity_only
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,left_upper_leg,-2.0697805479499243,-8.289944659503895,nan,-8.289944659503895,nan,0.0,6.220164111553971,sensitivity_only
