bin_index,s_start_m,s_end_m,s_mid_m,bin_width_m
0,0.0,0.024989429470290904,0.012494714735145452,0.024989429470290904
1,0.024989429470290904,0.04997885894058181,0.03748414420543636,0.024989429470290904
2,0.04997885894058181,0.07496828841087272,0.06247357367572726,0.02498942947029091
3,0.07496828841087272,0.09995771788116362,0.08746300314601817,0.024989429470290897
4,0.09995771788116362,0.12494714735145451,0.11245243261630906,0.024989429470290897
5,0.12494714735145451,0.14993657682174544,0.13744186208659998,0.024989429470290925
6,0.14993657682174544,0.17492600629203633,0.1624312915568909,0.024989429470290897
7,0.17492600629203633,0.19991543576232723,0.18742072102718177,0.024989429470290897
8,0.19991543576232723,0.22490486523261813,0.2124101504974727,0.024989429470290897
9,0.22490486523261813,0.24989429470290903,0.23739957996776356,0.024989429470290897
10,0.24989429470290903,0.27488372417319995,0.2623890094380545,0.024989429470290925
11,0.27488372417319995,0.2998731536434909,0.2873784389083454,0.024989429470290925
12,0.2998731536434909,0.32486258311378174,0.3123678683786363,0.02498942947029087
13,0.32486258311378174,0.34985201258407267,0.3373572978489272,0.024989429470290925
14,0.34985201258407267,0.37484144205436354,0.36234672731921813,0.02498942947029087
15,0.37484144205436354,0.39983087152465446,0.387336156789509,0.024989429470290925
16,0.39983087152465446,0.4248203009949454,0.4123255862597999,0.024989429470290925
17,0.4248203009949454,0.44980973046523626,0.4373150157300908,0.02498942947029087
18,0.44980973046523626,0.4747991599355272,0.4623044452003817,0.024989429470290925
19,0.4747991599355272,0.49978858940581805,0.48729387467067264,0.02498942947029087
20,0.49978858940581805,0.524778018876109,0.5122833041409636,0.024989429470290925
21,0.524778018876109,0.5497674483463999,0.5372727336112544,0.024989429470290925
22,0.5497674483463999,0.5747568778166908,0.5622621630815454,0.024989429470290925
23,0.5747568778166908,0.5997463072869818,0.5872515925518362,0.024989429470290925
24,0.5997463072869818,0.6247357367572726,0.6122410220221272,0.024989429470290814
25,0.6247357367572726,0.6497251662275635,0.6372304514924181,0.024989429470290925
26,0.6497251662275635,0.6747145956978544,0.6622198809627089,0.024989429470290925
27,0.6747145956978544,0.6997040251681453,0.6872093104329999,0.024989429470290925
28,0.6997040251681453,0.7246934546384363,0.7121987399032907,0.024989429470290925
29,0.7246934546384363,0.7496828841087271,0.7371881693735817,0.024989429470290814
30,0.7496828841087271,0.774672313579018,0.7621775988438726,0.024989429470290925
31,0.774672313579018,0.7996617430493089,0.7871670283141634,0.024989429470290925
32,0.7996617430493089,0.8246511725195999,0.8121564577844544,0.024989429470290925
33,0.8246511725195999,0.8496406019898908,0.8371458872547453,0.024989429470290925
34,0.8496406019898908,0.8746300314601816,0.8621353167250362,0.024989429470290814
35,0.8746300314601816,0.8996194609304725,0.8871247461953271,0.024989429470290925
36,0.8996194609304725,0.9246088904007634,0.9121141756656179,0.024989429470290925
37,0.9246088904007634,0.9495983198710544,0.937103605135909,0.024989429470290925
38,0.9495983198710544,0.9745877493413453,0.9620930346061998,0.024989429470290925
39,0.9745877493413453,0.9995771788116361,0.9870824640764907,0.024989429470290814
40,0.9995771788116361,1.0245666082819271,1.0120718935467816,0.024989429470291036
41,1.0245666082819271,1.049556037752218,1.0370613230170727,0.024989429470290814
42,1.049556037752218,1.0745454672225088,1.0620507524873632,0.024989429470290814
43,1.0745454672225088,1.0995348966927998,1.0870401819576543,0.024989429470291036
44,1.0995348966927998,1.1245243261630906,1.1120296114279453,0.024989429470290814
45,1.1245243261630906,1.1495137556333817,1.1370190408982361,0.024989429470291036
46,1.1495137556333817,1.1745031851036725,1.162008470368527,0.024989429470290814
47,1.1745031851036725,1.1994926145739635,1.186997899838818,0.024989429470291036
48,1.1994926145739635,1.2244820440442543,1.211987329309109,0.024989429470290814
49,1.2244820440442543,1.2494714735145451,1.2369767587793996,0.024989429470290814
50,1.2494714735145451,1.2744609029848362,1.2619661882496906,0.024989429470291036
51,1.2744609029848362,1.299450332455127,1.2869556177199817,0.024989429470290814
52,1.299450332455127,1.324439761925418,1.3119450471902725,0.024989429470291036
53,1.324439761925418,1.3494291913957088,1.3369344766605633,0.024989429470290814
54,1.3494291913957088,1.3744186208659996,1.3619239061308543,0.024989429470290814
55,1.3744186208659996,1.3994080503362907,1.3869133356011452,0.024989429470291036
56,1.3994080503362907,1.4243974798065815,1.411902765071436,0.024989429470290814
57,1.4243974798065815,1.4493869092768725,1.436892194541727,0.024989429470291036
58,1.4493869092768725,1.4743763387471633,1.461881624012018,0.024989429470290814
59,1.4743763387471633,1.4993657682174542,1.4868710534823086,0.024989429470290814
60,1.4993657682174542,1.5243551976877452,1.5118604829525997,0.024989429470291036
61,1.5243551976877452,1.549344627158036,1.5368499124228907,0.024989429470290814
62,1.549344627158036,1.574334056628327,1.5618393418931815,0.024989429470291036
63,1.574334056628327,1.5993234860986179,1.5868287713634723,0.024989429470290814
64,1.5993234860986179,1.6243129155689087,1.6118182008337634,0.024989429470290814
65,1.6243129155689087,1.6493023450391997,1.6368076303040542,0.024989429470291036
66,1.6493023450391997,1.6742917745094905,1.661797059774345,0.024989429470290814
67,1.6742917745094905,1.6992812039797816,1.686786489244636,0.024989429470291036
68,1.6992812039797816,1.7242706334500724,1.711775918714927,0.024989429470290814
69,1.7242706334500724,1.7492600629203632,1.7367653481852177,0.024989429470290814
70,1.7492600629203632,1.7742494923906542,1.7617547776555087,0.024989429470291036
71,1.7742494923906542,1.799238921860945,1.7867442071257997,0.024989429470290814
72,1.799238921860945,1.824228351331236,1.8117336365960905,0.024989429470291036
73,1.824228351331236,1.8492177808015269,1.8367230660663814,0.024989429470290814
74,1.8492177808015269,1.8742072102718177,1.8617124955366724,0.024989429470290814
