source_id,time_s,bin_index,s_start_m,s_end_m,s_mid_m,bin_width_m,face_count,wall_area_m2,rho_bulk_kg_m3,mdot_mean_abs_kg_s,flow_area_m2,bulk_velocity_m_s,tauw_streamwise_mean_signed_pa,tauw_streamwise_mean_abs_pa,tauw_streamwise_std_abs_pa,tauw_streamwise_max_rel_dev,darcy_f_mean,darcy_f_std_rel,yplus_area_avg,yplus_max,warning_flag
val_salt_test_2_coarse_mesh_laminar,6756.0,0,0.0,0.024989429470290904,0.012494714735145452,0.024989429470290904,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,1,0.024989429470290904,0.04997885894058181,0.03748414420543636,0.024989429470290904,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,2,0.04997885894058181,0.07496828841087272,0.06247357367572726,0.02498942947029091,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,3,0.07496828841087272,0.09995771788116362,0.08746300314601817,0.024989429470290897,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,4,0.09995771788116362,0.12494714735145451,0.11245243261630906,0.024989429470290897,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,5,0.12494714735145451,0.14993657682174544,0.13744186208659998,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,6,0.14993657682174544,0.17492600629203633,0.1624312915568909,0.024989429470290897,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,7,0.17492600629203633,0.19991543576232723,0.18742072102718177,0.024989429470290897,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,8,0.19991543576232723,0.22490486523261813,0.2124101504974727,0.024989429470290897,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,9,0.22490486523261813,0.24989429470290903,0.23739957996776356,0.024989429470290897,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,10,0.24989429470290903,0.27488372417319995,0.2623890094380545,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,11,0.27488372417319995,0.2998731536434909,0.2873784389083454,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,12,0.2998731536434909,0.32486258311378174,0.3123678683786363,0.02498942947029087,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,13,0.32486258311378174,0.34985201258407267,0.3373572978489272,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,14,0.34985201258407267,0.37484144205436354,0.36234672731921813,0.02498942947029087,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,15,0.37484144205436354,0.39983087152465446,0.387336156789509,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,16,0.39983087152465446,0.4248203009949454,0.4123255862597999,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,17,0.4248203009949454,0.44980973046523626,0.4373150157300908,0.02498942947029087,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,18,0.44980973046523626,0.4747991599355272,0.4623044452003817,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,19,0.4747991599355272,0.49978858940581805,0.48729387467067264,0.02498942947029087,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,20,0.49978858940581805,0.524778018876109,0.5122833041409636,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,21,0.524778018876109,0.5497674483463999,0.5372727336112544,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,22,0.5497674483463999,0.5747568778166908,0.5622621630815454,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,23,0.5747568778166908,0.5997463072869818,0.5872515925518362,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,24,0.5997463072869818,0.6247357367572726,0.6122410220221272,0.024989429470290814,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,25,0.6247357367572726,0.6497251662275635,0.6372304514924181,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
val_salt_test_2_coarse_mesh_laminar,6756.0,26,0.6497251662275635,0.6747145956978544,0.6622198809627089,0.024989429470290925,0,0.0,1953.63056731495,0.013683030165,0.000373058916725,0.018774242266033896,nan,nan,nan,nan,nan,nan,nan,nan,no
