case_id,candidate_id,engine,original_root_status,original_accepted_for_validation,original_pressure_residual_Pa,original_temperature_periodicity_error_K,mdot_kg_s,original_start_temperature_K,original_end_temperature_K,initial_lower_K,initial_upper_K,initial_lower_residual_K,initial_upper_residual_K,expanded_lower_K,expanded_upper_K,bracket_found,bracket_lower_K,bracket_upper_K,root_temperature_K,root_residual_K,required_upper_expansion_K,repair_status,fluid_patch_required,next_action,source_path
salt_2,UMX1_disabled_baseline,fast_scan,fast_scan_bracketed_pressure_root,true,-0.631679967803,-4.6702552936e-10,0.021875,546.821022112,546.821022111,274.19,549.19,9.71162082296,-0.130437977693,274.19,549.19,true,274.19,549.19,546.82102209,7.57268026064e-10,0,already_bracketed_by_current_bounds,false,keep current strict root gate,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_2,UMX1_exchange_0p01,fast_scan,fast_scan_bracketed_pressure_root,true,-0.663069956409,-1.75987224793e-10,0.021875,547.17010195,547.17010195,274.19,549.19,9.69410517615,-0.110866268345,274.19,549.19,true,274.19,549.19,547.170101936,5.92535798205e-10,0,already_bracketed_by_current_bounds,false,keep current strict root gate,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_2,UMX1_exchange_0p05,fast_scan,fast_scan_bracketed_pressure_root,true,-0.779476816067,-1.53590917762e-10,0.021875,548.444416048,548.444416047,274.19,549.19,9.62877063818,-0.0404487792347,274.19,549.19,true,274.19,549.19,548.444416052,-3.65616870113e-10,0,already_bracketed_by_current_bounds,false,keep current strict root gate,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_3,UMX1_disabled_baseline,fast_scan,fast_scan_bracketed_pressure_root,false,1.0540899166,0.817781028106,0.023125,549.79,550.607781028,274.79,549.79,10.1517692823,0.817781028106,274.79,570.79,true,562.79,570.79,565.062134095,-6.2073013396e-11,21,upper_bound_too_low_root_recovered,true,patch Fluid thermal bracket expansion and rerun strict scorer,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_3,UMX1_exchange_0p01,fast_scan,fast_scan_bracketed_pressure_root,false,1.12813445949,0.836372864608,0.023125,549.79,550.626372865,274.79,549.79,10.1352004272,0.836372864608,274.79,570.79,true,562.79,570.79,565.457641938,9.40985955822e-10,21,upper_bound_too_low_root_recovered,true,patch Fluid thermal bracket expansion and rerun strict scorer,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_3,UMX1_exchange_0p05,fast_scan,fast_scan_bracketed_pressure_root,false,1.38974579489,0.903265465818,0.023125,549.79,550.693265466,274.79,549.79,10.0733974859,0.903265465818,274.79,570.79,true,562.79,570.79,566.904327013,-3.21733750752e-10,21,upper_bound_too_low_root_recovered,true,patch Fluid thermal bracket expansion and rerun strict scorer,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_4,UMX1_disabled_baseline,fast_scan,fast_scan_bracketed_pressure_root,false,-0.402688807575,2.02500412902,0.023125,549.97,551.995004129,274.97,549.97,11.3687676327,2.02500412902,274.97,604.97,true,583.97,604.97,586.670083937,3.40719452652e-10,55,upper_bound_too_low_root_recovered,true,patch Fluid thermal bracket expansion and rerun strict scorer,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_4,UMX1_exchange_0p01,fast_scan,fast_scan_bracketed_pressure_root,false,-0.328611837877,2.04360024164,0.023125,549.97,552.013600242,274.97,549.97,11.3521987776,2.04360024164,274.97,604.97,true,583.97,604.97,587.118445399,-4.58385329694e-10,55,upper_bound_too_low_root_recovered,true,patch Fluid thermal bracket expansion and rerun strict scorer,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
salt_4,UMX1_exchange_0p05,fast_scan,fast_scan_bracketed_pressure_root,false,-0.0668860423286,2.11050804908,0.023125,549.97,552.080508049,274.97,549.97,11.2903958363,2.11050804908,274.97,604.97,true,583.97,604.97,588.761097015,6.18683770881e-10,55,upper_bound_too_low_root_recovered,true,patch Fluid thermal bracket expansion and rerun strict scorer,work_products/2026-07/2026-07-18/2026-07-18_umx1_dry_smoke_scorer/umx1_smoke_results.csv
