time_s,span_name,bin_index,s_mid_m,bulk_temp_area_avg_k,bulk_temp_flow_weighted_k,bulk_temp_union_area_avg_k,cross_section_faces,cross_section_area_m2,cross_section_total_faces,cross_section_total_area_m2,cross_section_region_count,cross_section_reference_area_m2,cross_section_region_selection_status,cross_section_chosen_region_signed_mass_flux_kg_s,cross_section_chosen_region_aligned_signed_mass_flux_kg_s,cross_section_chosen_region_positive_mass_flux_kg_s,cross_section_chosen_region_area_ratio_to_reference,selection
7483.0,left_lower_leg,0,0.0,449.43547081158425,453.3277686627314,455.56006681124774,2381.0,0.0014759193874999933,7074.0,0.004914016880490191,3.0,0.00038243255716666663,aligned_area_match,0.004079560056910363,0.004079560056910363,0.004642866117369663,3.859293252736267,bulkThermal_left_lower_leg_bin_0000
7483.0,left_lower_leg,1,0.009803060606060605,456.18479150088274,460.40632876413457,466.64823636719586,1964.0,0.0009700708245387583,4170.0,0.0025359111387528816,3.0,0.00038243255716666663,aligned_area_match,0.013411209786109709,0.013411209786109709,0.013778578305952784,2.5365801272928628,bulkThermal_left_lower_leg_bin_0001
7483.0,left_lower_leg,2,0.01960612121212121,456.2135829922455,460.3012198263241,452.8693246310947,576.0,0.00038243255858198317,1152.0,0.000764865119618449,2.0,0.00038243255716666663,aligned_area_match,0.013616634797629746,0.013616634797629746,0.013942243049601549,1.0000000037008265,bulkThermal_left_lower_leg_bin_0002
7483.0,left_lower_leg,3,0.029409181818181813,455.6691802642116,460.38617840247485,452.6055133004727,576.0,0.000382432558581983,1152.0,0.000764865119618449,2.0,0.00038243255716666663,aligned_area_match,0.013636869922945284,0.013636869922945284,0.013922673382050277,1.000000003700826,bulkThermal_left_lower_leg_bin_0003
7483.0,left_lower_leg,4,0.03921224242424242,455.75230493492467,460.3410528179559,452.6555881584038,576.0,0.00038243255858198317,1152.0,0.000764865119618449,2.0,0.00038243255716666663,aligned_area_match,0.01364607185250132,0.01364607185250132,0.013955894304080377,1.0000000037008265,bulkThermal_left_lower_leg_bin_0004
7483.0,left_lower_leg,5,0.04901530303030303,456.0532880934705,460.24580925049463,452.8146949112379,576.0,0.000382432558581983,1152.0,0.000764865119618449,2.0,0.00038243255716666663,aligned_area_match,0.01364902583069719,0.01364902583069719,0.01406107401449652,1.000000003700826,bulkThermal_left_lower_leg_bin_0005
7483.0,left_lower_leg,6,0.05881836363636363,456.4086093932227,460.18716194371416,453.0010534706112,576.0,0.00038243255858198366,1152.0,0.000764865119618449,2.0,0.00038243255716666663,aligned_area_match,0.013648635833704136,0.013648635833704136,0.014155679500045296,1.0000000037008279,bulkThermal_left_lower_leg_bin_0006
7483.0,left_lower_leg,7,0.06862142424242423,456.73144364533465,460.16313124594643,453.1712331468306,576.0,0.000382432558581983,1152.0,0.0007648651190744493,2.0,0.00038243255716666663,aligned_area_match,0.013646353261930486,0.013646353261930486,0.014221031994590154,1.000000003700826,bulkThermal_left_lower_leg_bin_0007
7483.0,left_lower_leg,8,0.07842448484848484,456.99098247851657,460.1559513736537,453.3098136539036,576.0,0.000382432558581983,1152.0,0.000764865119618449,2.0,0.00038243255716666663,aligned_area_match,0.013643380527303137,0.013643380527303137,0.014262098517535893,1.000000003700826,bulkThermal_left_lower_leg_bin_0008
7483.0,left_lower_leg,9,0.08822754545454545,457.1871728991347,460.1539720712535,453.4167557603337,576.0,0.000382432558581983,1152.0,0.000764865119618449,2.0,0.00038243255716666663,aligned_area_match,0.01364050211968759,0.01364050211968759,0.014288938473361866,1.000000003700826,bulkThermal_left_lower_leg_bin_0009
