source_id,case_label,asset_family,scope_name,fit_status,fit_reason
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,feature_keff,corner_upper_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,feature_keff,test_section_complex,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,feature_keff,test_section_complex,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,feature_keff,test_section_complex,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
