source_id,span,L_m,D_h_m,Re,rho_kg_m3,u_bulk_m_s,q_ref_pa,x_plus,gross_static_dp_pa,buoyancy_contribution_pa,distributed_friction_pa,development_loss_pa,minor_loss_pa,minor_loss_K,minor_loss_upper_bound_flag,recirculation_flag,flow_reset_flag,residual_pa,residual_fraction,f_debuoyed,admission_note
viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,0.3568416202986929,0.02182132919954016,67.99763118266802,1954.1427460239477,0.013764373493929954,0.18511396638026176,0.24049193569385008,2.3763371934790376,5.218400401442564,7.594737594921601,1.282016419920414,0.49951598888872795,8.211480628569191,True,False,True,0.0,0.0,2.5088765096488217,mainline_salt_jin
viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,0.3657599999905402,0.02181495869709446,61.15899206065987,1960.4524107349537,0.013802167876595552,0.18673293341773192,0.2741457353306351,5.705173118703581,1.483260929383138,7.188434048086719,1.385941057806892,0.764693936138507,16.503825877025502,True,False,True,0.0,0.0,2.2959982845973337,mainline_salt_jin
viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg,0.12191999999765796,0.021814958682552486,71.12521667906103,1954.2460235300925,0.014426468794565378,0.20336177441512363,0.07857727373726343,-2.0528561531467027,0.46643233724047767,1.5864238159062247,0.7655269557534745,0.0,NaN,False,True,True,2.7755575615628914e-16,1.7495687682786007e-16,1.3958197504468033,mainline_salt_jin
viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,0.09807272727386546,0.02069210493406325,68.79759596170659,1954.3044684855074,0.014725921382420064,0.21189815948410157,0.06889224189463358,0.6207549785271755,0.7458710237918236,1.3666260023189991,0.0,0.0,NaN,False,False,False,0.0,0.0,1.3607517911236493,mainline_salt_jin
viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg,0.14309041771286912,0.021814958682552486,66.64763746835195,1954.5397849016206,0.013584701822289914,0.180349415823516,0.098417288955016,-2.56290979249356,1.385044250825602,1.1778655416679582,0.0,0.397984716988182,6.245177796682506,True,True,False,-2.220446049250313e-16,-1.8851439070931405e-16,0.9956915468453434,mainline_salt_jin
viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg,0.35687444321026807,0.021821740388825197,62.705232933531015,1958.025751778143,0.013557668805934555,0.1799527321210388,0.2608088221623587,32.56556038669951,-39.27402264795189,6.708462261252379,1.30088784272575,0.5996790416038161,15.923062359144723,True,False,True,0.0,0.0,2.279494102769644,mainline_salt_jin
viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg,0.3568416202986929,0.02182132919954016,90.20420441297262,1944.444807218464,0.015655700000058795,0.23829262743630575,0.18128735852321934,2.070572236740728,5.4368666076788115,7.507438844419539,1.4202603308614044,0.656791856335483,8.304110933357741,True,False,True,-8.881784197001252e-16,-1.1830644752575371e-16,1.9265793266963513,mainline_salt_jin
viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,0.3657599999905402,0.02181495869709446,84.74917869256562,1950.9634460416664,0.01628939688072559,0.25883866199971856,0.19783645233155353,7.847788966139236,1.0719275913058328,8.919716557445069,1.616219651946336,0.8372878613242898,13.810210784371353,True,False,True,4.440892098500626e-16,4.9787367904576766e-17,2.055323056510037,mainline_salt_jin
viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg,0.12191999999765796,0.021814958682552486,96.7702467137881,1944.0547574768516,0.016701637784908324,0.27114189012083084,0.05775355349813778,-2.2110963311923637,0.41991650443750195,1.7911798267548618,0.8510894868542376,0.0,NaN,False,True,True,0.0,0.0,1.1820123411360015,mainline_salt_jin
viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,0.09807272727386546,0.02069210493406325,91.05094038525839,1944.656181405797,0.016718431893500474,0.27177150126675453,0.05205460374938122,0.375476132678477,0.7046811545905168,1.0801572872689937,0.0,0.0,NaN,False,False,False,-1.1102230246251565e-16,-1.0278345919714889e-16,0.8385703565504075,mainline_salt_jin
