source_id,case_label,span_name,span_kind,fit_status,fit_reason,net_section_role,section_length_m,hydraulic_diameter_m,rho_bulk_kg_m3,bulk_velocity_m_s,mdot_mean_abs_kg_s,dynamic_head_local_pa,pressure_loss_hydro_pa,apparent_darcy_f_local,apparent_darcy_f_loop_ref,direct_prgh_darcy,shear_darcy_core,direct_to_shear_darcy_ratio,pressure_loss_to_driving_head_ratio,max_branch_temp_delta_k,ambient_proxy_fraction_of_heater,enthalpy_residual_fraction_of_wall_heat,boundary_delta99_u_over_dh,boundary_delta99_t_over_dh,boundary_delta99_t_over_delta99_u,branch_fit_status
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,left_lower_leg,main_loop_leg,screening_only,buoyancy_aided_or_net_gain_section,buoyancy_aided_or_net_gain,0.30879640909090905,0.02195991413590978,1955.6060495308604,0.01893089309764711,0.01369048021733334,0.35042379012938063,-162.54113200780358,-65.97176295382752,-69.29180152160616,1.2792011400798031,1.2751012047667356,1.0032153803147081,-0.007090409991888039,7.357001578217648,0.707994955954042,0.4386022141035253,0.10724134418984826,1.316783673367251e-08,1.7651807901766245e-07,candidate
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,left_upper_leg,main_loop_leg,screening_only,buoyancy_aided_or_net_gain_section,buoyancy_aided_or_net_gain,0.3599437894736842,0.021982731251817298,1951.3455841989403,0.018880566232275364,0.013690480217333333,0.34780372089114414,-149.04855834254977,-52.34443517387219,-54.567608676085335,1.8481792714537852,0.9711179965647592,1.9031459390018,-0.006501833562336607,7.357001578217648,0.707994955954042,0.5580134274937781,0.33952674789750453,8.868940965345828e-09,2.0504095335938243e-08,candidate
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,lower_leg,main_loop_leg,candidate,dissipative_with_agreeing_friction_proxies,dissipative,0.9004136306150923,0.022041740782055636,1953.6584737728983,0.018473224672466627,0.013690452818000003,0.3333527745644271,18.552735178323566,2.7248192153153044,2.7225254722446777,0.4666604492275767,0.9113817492730082,0.5120362017341502,0.0008093120631085713,7.357001578217648,0.707994955954042,1.6235120700944223,11.702820006431518,1.6988023999472268,0.3088456271780451,screening_only
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,right_leg,main_loop_leg,screening_only,support_fraction_below_floor,dissipative,0.9144000000000002,0.022082226572606178,1957.0560077904697,0.01838877639181912,0.013690487944,0.3308864040919595,109.42172278141224,15.972072302725087,15.840554091533955,1.1042824900293347,1.1267026275320382,0.9801011048036576,0.004773221811336224,7.357001578217648,0.707994955954042,7.567109783228613,18.33098850390708,17.76764877269623,0.9409339315851739,do_not_fit
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,test_section_span,test_section_leg,candidate,dissipative_with_agreeing_friction_proxies,dissipative,0.2512780000000001,0.020787565883064133,1952.2737035026591,0.02113044329290443,0.01369049033,0.4358408423852157,111.59988989762351,42.36576072197514,55.34432748373824,0.7926210951184206,0.9669165678960896,0.8197409388103486,0.004868238363109992,7.357001578217648,0.707994955954042,2.045772772066975,0.09586093678895233,1.1024805135415086e-08,1.1920779174577294e-07,candidate
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,upper_leg,main_loop_leg,screening_only,direct_to_shear_magnitude_gap,dissipative,0.894093796282035,0.022197541157231646,1951.28039620957,0.018262965064792837,0.013690499889999996,0.32541102478207706,196.57968988576994,29.995642442069233,29.256381492529208,4.032072997206838,0.9693543015185007,4.159545164126849,0.008575248493417639,7.357001578217648,0.707994955954042,2.003344509977098,0.35192164464690734,0.05233332183263245,0.12478448101677042,do_not_fit
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_lower_leg,main_loop_leg,screening_only,buoyancy_aided_or_net_gain_section,buoyancy_aided_or_net_gain,0.30879640909090905,0.02195991413590978,1973.9905814254003,0.01543169348918579,0.011264835955833335,0.23504025935762735,-164.61348257069312,-99.61197186304024,-104.62882802024929,1.6582723965484731,1.7394582454771605,0.9533269343257982,-0.007117837286473468,8.236609990348938,0.7222685531079646,0.61259854262233,0.202843239362245,1.3167836733672508e-08,1.3945134024040337e-07,candidate
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_upper_leg,main_loop_leg,screening_only,buoyancy_aided_or_net_gain_section,buoyancy_aided_or_net_gain,0.3599437894736842,0.021982731251817298,1969.2587923359242,0.015394039662554475,0.011264835955833333,0.23333398589323687,-149.6933761822679,-78.36128430939455,-81.71035755634283,2.265533499987287,1.610626463412974,1.4066163393258435,-0.0064726963908966016,8.236609990348938,0.7222685531079646,0.7116003147559002,0.3552156562294602,8.868940965345827e-09,2.0346446634148417e-08,candidate
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,lower_leg,main_loop_leg,screening_only,support_fraction_below_floor,dissipative,0.9004136306150922,0.022041740782055636,1972.3455702869126,0.015056346131794806,0.011264944452499998,0.2235590183229447,19.76096665544742,4.32762683080611,4.323540949064843,0.5485848856817362,1.5053798552528184,0.3644162526604324,0.0008544582319768262,8.236609990348938,0.7222685531079646,1.6969295955893693,11.562099233989917,1.3346719180395772,0.18878538010003232,do_not_fit
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,main_loop_leg,screening_only,support_fraction_below_floor,dissipative,0.9144000000000002,0.022082226572606178,1976.1220337220627,0.014984675482341111,0.011264811874999985,0.22185971409139585,116.596688240802,25.383085114834877,25.166360923734345,2.233737292976908,1.3584922128268175,1.6442768474387037,0.005041605596815536,8.236609990348938,0.7222685531079646,7.787809779468553,18.372704352133525,17.767811208937587,0.8737407069210811,do_not_fit
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,test_section_leg,screening_only,direct_to_shear_magnitude_gap,dissipative,0.2512780000000001,0.020787565883064133,1970.398596013262,0.01722666290925231,0.011264837599999997,0.29236568952763925,113.1776781314993,64.04917540960612,83.68305247593496,0.41071191745356583,1.3950290782275965,0.29441100824606536,0.004893768631952264,8.236609990348938,0.7222685531079646,4.84008120791498,0.12434526813873366,0.029573969036913148,0.27073855405067315,candidate
