branch_name,branch_profile_index,case_count,branch_s_fraction,mean_effective_htc_w_m2_k,mean_effective_ua_per_m_w_m_k,mean_bulk_temp_k,mean_wall_temp_k,bulk_minus_wall_delta_k
left_lower_leg,0,3,0.0,nan,nan,nan,nan,nan
left_lower_leg,1,3,0.0303030303030303,nan,nan,nan,nan,nan
left_lower_leg,2,3,0.0606060606060606,40.313050381227136,1.9323204792049464,450.80956050325653,442.0183591086314,8.79120139462511
left_lower_leg,3,3,0.0909090909090909,45.383871644554084,3.2630692970970068,450.81492617422896,442.95141391068097,7.8635122635480075
left_lower_leg,4,3,0.1212121212121212,50.772068416789885,3.6504769557450474,450.75764101422965,443.67344815365277,7.084192860576934
left_lower_leg,5,3,0.15151515151515152,55.95671394040675,3.576221705327184,450.681076303643,444.1982192687135,6.4828570349294905
left_lower_leg,6,3,0.1818181818181818,60.83438963434576,4.373950961658218,450.62475736350547,444.61190650523304,6.012850858272429
left_lower_leg,7,3,0.21212121212121207,65.4144162516204,4.703251739515248,450.590505072154,444.95491949631923,5.6355855758347575
left_lower_leg,8,3,0.2424242424242424,69.19162177254485,4.4220713201150685,450.57131127058096,445.20884051145407,5.362470759126874
left_lower_leg,9,3,0.2727272727272727,72.47469424728902,5.210880893261105,450.5596638754619,445.41026199313734,5.149401882324621
left_lower_leg,10,3,0.30303030303030304,75.52608056628002,5.430273501704207,450.55175995315227,445.5821437403722,4.969616212780106
left_lower_leg,11,3,0.3333333333333333,78.09684665929676,4.991208706943969,450.5449679577484,445.7148880854522,4.830079872296191
left_lower_leg,12,3,0.3636363636363636,80.39490251979889,5.780338445121218,450.5388650018762,445.82513653105934,4.713728470816818
left_lower_leg,13,3,0.39393939393939387,82.57967663394929,5.937422208022966,450.53308297751914,445.92353605338053,4.609546924138631
left_lower_leg,14,3,0.42424242424242414,84.45916755377696,5.397827831829223,450.52725467793334,446.0028937991946,4.5243608787387
left_lower_leg,15,3,0.4545454545454546,86.16265467629374,6.195035876017495,450.5217297565984,446.07157191248933,4.45015784410909
left_lower_leg,16,3,0.4848484848484848,87.79976789071446,6.3127431952098165,450.5163891986226,446.13527388762594,4.381115310996677
left_lower_leg,17,3,0.5151515151515151,89.22266422147764,5.702265297109339,450.5111391661937,446.1885118030453,4.322627363148361
left_lower_leg,18,3,0.5454545454545454,90.53010638826997,6.509052663732728,450.5059996530256,446.2360933082271,4.269906344798453
left_lower_leg,19,3,0.5757575757575757,91.79897638800166,6.600283547923493,450.50099382136756,446.28154174757464,4.219452073792922
left_lower_leg,20,3,0.6060606060606061,92.91628647627785,5.938326551141112,450.4961251929565,446.3205931746743,4.17553201828224
left_lower_leg,21,3,0.6363636363636364,93.954023972614,6.7552299937050675,450.4914132345264,446.35644325277536,4.13496998175098
left_lower_leg,22,3,0.6666666666666666,94.97009035027891,6.82828447056279,450.48688476429464,446.3916157725293,4.09526899176537
left_lower_leg,23,3,0.6969696969696969,95.91985487262959,6.89657188942006,450.4825484245244,446.4244490160483,4.058099408476096
left_lower_leg,24,3,0.7272727272727272,96.77322854283581,6.184825656396466,450.47844417837706,446.4537943605712,4.024649817805899
