time,ambient_proxy_w,ambient_noncooling_proxy_w,cooling_branch_total_removal_w,cooling_branch_excess_w,net_total_q_w,section_downcomer_net_q_w,section_heater_net_q_w,section_upcomer_net_q_w,section_test_section_net_q_w,section_cooling_branch_net_q_w,section_upper_transport_net_q_w,section_lower_transport_net_q_w,section_junctions_net_q_w,section_other_net_q_w
5183.0,187.92449214787,107.91375214787,136.35074,80.01074,0.3982418721300629,-22.17318101,244.66273401999996,-19.21996387147,-7.378232867,-136.35074,-11.8409728888,-6.367748442,-40.9336530686,0.0
5184.0,187.92729012021,107.91655012020998,136.35074,80.01074,0.3953705897900486,-22.173217206,244.66266071,-19.21998677781,-7.378272674,-136.35074,-11.840978197700002,-6.367751136500001,-40.93634412819999,0.0
5185.0,187.92683509236002,107.91609509236001,136.35074,80.01074,0.3957553476400326,-22.173115738,244.66259044,-19.220028004659998,-7.378312449,-136.35074,-11.840987009800001,-6.3677493294000005,-40.9359025615,0.0
5186.0,187.92259309888001,107.91185309888002,136.35074,80.01074,0.3999496211200073,-22.172988404999998,244.66254272000003,-19.22005500438,-7.378351922,-136.35074,-11.8409991856,-6.3677417604999995,-40.931716821399995,0.0
5187.0,187.91637598107,107.90563598106999,136.35074,80.01074,0.40613875892998497,-22.172952816,244.66251474,-19.22006994207,-7.378391011,-136.35074,-11.841011367200002,-6.3677311163,-40.9254797285,0.0
5188.0,187.9106702826,107.8999302826,136.35074,80.01074,0.4118254073999825,-22.17300312,244.66249569,-19.220078993799998,-7.378429717,-136.35074,-11.8410217333,-6.367720547599999,-40.919676170900004,0.0
5189.0,187.90726812578998,107.89652812579,136.35074,80.01074,0.41520947420998944,-22.173077417000002,244.6624776,-19.22008377749,-7.378470024,-136.35074,-11.841030394599999,-6.3677208833000005,-40.916145629400006,0.0
5190.0,187.90613463134,107.89539463134,136.35074,80.01074,0.4163234386600285,-22.173128818000002,244.66245806999999,-19.22008630114,-7.378502796,-136.35074,-11.8410381911,-6.3677433,-40.914895225100004,0.0
5191.0,187.90529567297997,107.89455567297998,136.35074,80.01074,0.4171452970199736,-22.17314904,244.66244097,-19.220091132780002,-7.378504279,-136.35074,-11.8410462109,-6.3677522065000005,-40.914012803800006,0.0
5192.0,187.90230481353,107.89156481353001,136.35074,80.01074,0.4201272864699863,-22.173151631,244.6624321,-19.22009829783,-7.378480466,-136.35074,-11.841055070500001,-6.3677229769000006,-40.911056371300006,0.0
5193.0,187.8961522057,107.88541220569999,136.35074,80.01074,0.42627680429998627,-22.173151548,244.66242901000004,-19.2201086566,-7.378428874,-136.35074,-11.841064593099999,-6.3677123129,-40.90494622109999,0.0
5194.0,187.88989895763,107.87915895763,136.35074,80.01074,0.43252679237000713,-22.173159405,244.66242575,-19.22011911313,-7.378384582,-136.35074,-11.8410745695,-6.3677229445,-40.8986983435,0.0
5195.0,187.89008786705,107.87934786704999,136.35074,80.01074,0.4323412529500912,-22.173179562,244.66242912,-19.22013066545,-7.378339456,-136.35074,-11.8410852065,-6.3677155291,-40.89889744799999,0.0
5196.0,187.89930013919,107.88856013918999,136.35074,80.01074,0.4231521908099971,-22.17320992,244.66245233,-19.22014158899,-7.378302442,-136.35074,-11.841097256400001,-6.367689157000001,-40.90811977480001,0.0
5197.0,187.91205543307,107.90131543307,136.35074,80.01074,0.4104320169299873,-22.173249239,244.66248745,-19.22015302537,-7.378274516,-136.35074,-11.8411109849,-6.3676744664,-40.9208532014,0.0
5198.0,187.92038469394,107.90964469394001,136.35074,80.01074,0.4021152060599942,-22.173310051999998,244.66249989999997,-19.22016525914,-7.378250979,-136.35074,-11.8411214331,-6.3676891572,-40.9291078135,0.0
5199.0,187.92508016805,107.91434016805,136.35074,80.01074,0.3973838219499948,-22.173402095,244.66246399000002,-19.22017756765,-7.37823329,-136.35074,-11.841124650400001,-6.367723896599999,-40.933678668400006,0.0
5200.0,187.92810917040998,107.91736917040998,136.35074,80.01074,0.3942831795899764,-22.173450101,244.66239235,-19.220189321710002,-7.378222309,-136.35074,-11.8411263061,-6.3677627649,-40.93661836770001,0.0
5201.0,187.92811478768,107.91737478767998,136.35074,80.01074,0.3942054123199865,-22.173362391999998,244.6623202,-19.22020169448,-7.378219174,-136.35074,-11.8411333352,-6.367797136699999,-40.93666105529999,0.0
5202.0,187.92421244322998,107.91347244322998,136.35074,80.01074,0.3980587567700642,-22.173226119,244.66227120000002,-19.22021609963,-7.378225311,-136.35074,-11.841143160000001,-6.3678238284,-40.9328379252,0.0
5203.0,187.91796492372998,107.90722492373,136.35074,80.01074,0.4042802762700024,-22.173171297,244.66224520000003,-19.220232101329998,-7.378242074,-136.35074,-11.841139376,-6.3678423021,-40.926597773299996,0.0
5204.0,187.91194082785998,107.90120082785998,136.35074,80.01074,0.4102904121399442,-22.173209344,244.66223123999998,-19.220249991859998,-7.378270585,-136.35074,-11.841131977299998,-6.36785401,-40.9204849197,0.0
5205.0,187.90808738786998,107.89734737786998,136.35074001,80.01074001,0.4141326421300624,-22.173281926999998,244.66222003000001,-19.22026905997,-7.378312145,-136.35074001,-11.841133486299999,-6.3678688822,-40.9164818774,0.0
5206.0,187.90668857275,107.89594856275001,136.35074001,80.01074001,0.4155192472500264,-22.173337698,244.66220782,-19.22028847845,-7.378367041,-136.35074001,-11.8411368038,-6.3679002945,-40.914918246999996,0.0
5207.0,187.90599373576998,107.89525373577,136.35074,80.01074,0.41620401422999453,-22.173363138,244.66219775,-19.22030849007,-7.378434659,-136.35074,-11.8411374433,-6.367920357999999,-40.914089647400004,0.0
5208.0,187.90351451048997,107.89277451048999,136.35074,80.01074,0.4186816495099608,-22.173369846,244.66219616,-19.22032941449,-7.37851465,-136.35074,-11.8411384604,-6.367899174300001,-40.911522965299994,0.0
