source_id,case_label,case_order,feature_name,feature_class,adjacent_major_spans,reference_length_m,mean_abs_delta_p_rgh_pa,mean_delta_p_pa,mean_hydro_proxy_p_minus_prgh_pa,mean_local_boundary_reference_dp_pa,mean_existing_span_reference_dp_pa,mean_reference_method_gap_fraction,mean_feature_excess_dp_local_pa,mean_feature_excess_dp_existing_pa,mean_dynamic_head_local_pa,mean_keff_effective_local,mean_re_effective,mean_property_temperature_k,mean_rho_effective_kg_m3,mean_bulk_velocity_m_s,mean_hydraulic_diameter_geom_m,positive_time_fraction,local_support_fraction_min,local_support_fraction_mean,warning_fraction,fit_use_status,exclusion_reason_primary,exclusion_reasons_json
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_left,bend,left_lower_leg|lower_leg,0.20635081146333206,0.5283361605999998,338.5342844704,338.00594830980003,3.358121616061306,3.293066332011776,0.019372520302823985,-2.8297854554613067,-2.764730171411776,0.4568015647782818,-6.194780568803964,111.83193155690171,459.6538147835664,1948.9975350567602,0.021619530477820382,0.021018995802395968,0.0,1.0,1.0,1.0,excluded,nonpositive_local_feature_excess_loss,"[""nonpositive_local_feature_excess_loss"", ""nonpositive_local_feature_excess_loss""]"
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_right,bend,lower_leg|right_leg,0.20635044403436092,2.646708314,-337.8403516,340.48705991400004,3.1442309038862817,3.0688575922533032,0.023971803542976074,-0.49752258988628195,-0.4221492782533038,0.35589965745511126,-1.3979294645870721,91.4458122034818,450.77039346368144,1955.657436020278,0.019079444491773703,0.02171577736609076,0.0,1.0,1.0,1.0,excluded,nonpositive_local_feature_excess_loss,"[""nonpositive_local_feature_excess_loss"", ""nonpositive_local_feature_excess_loss""]"
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_upper_left,bend,upper_leg|left_upper_leg,0.24229320516510972,2.4385526680000007,330.7361540000005,328.2976013320005,3.16790822490619,3.3473169301663193,0.0566331764568907,-0.7293555569061895,-0.9087642621663189,0.5164483141375602,-1.4122527316532678,115.44539406005734,459.1531050546711,1949.3729171405128,0.023007263261479026,0.020510976720904323,0.0,1.0,1.0,1.0,excluded,nonpositive_local_feature_excess_loss,"[""nonpositive_local_feature_excess_loss"", ""nonpositive_local_feature_excess_loss""]"
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_upper_right,bend,right_leg|upper_leg,0.2294842671364168,7.842606016600001,-333.7798859999999,341.6224920165999,3.1082926488212,3.4540994517465426,0.11125383952307207,4.7343133677788005,4.388506564853458,0.4006194728855914,11.817484492977481,100.76001702381174,455.38152166831486,1952.2004732052642,0.020248835595755476,0.021287648509535732,1.0,1.0,1.0,1.0,fit_used,closure_supported,[]
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,0.25127800000000006,5.078562711400001,4767.9805627999995,4773.0591255113995,3.5192654764727855,4.374036489611531,0.24288335700663266,1.5592972349272145,0.7045262217884686,0.25112473549158676,6.209253918381157,93.6530954573449,459.82155460251124,1948.8717805144975,0.01603451116305559,0.023686226653951963,1.0,1.0,1.0,1.0,fit_used,closure_supported,[]
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_lower_left,bend,left_lower_leg|lower_leg,0.20635081146333206,0.3543893075000004,341.44794503025,341.09355572275,2.8541251274988686,3.2343693114358647,0.13322617862473715,-2.499735819998868,-2.8799800039358643,0.3063751373053084,-8.159068759446773,67.55997370263805,436.52560967388274,1966.3367504274897,0.017622183413131567,0.021018995802395968,0.0,1.0,1.0,1.0,excluded,nonpositive_local_feature_excess_loss,"[""nonpositive_local_feature_excess_loss"", ""nonpositive_local_feature_excess_loss""]"
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_lower_right,bend,lower_leg|right_leg,0.2063504440343609,2.3307559152499997,-341.0024970000004,343.3332529152504,3.2167016320927657,2.911748317546549,0.09480310103258974,-0.8859457168427664,-0.580992402296549,0.2386556132210904,-3.7122348987460527,53.23195572942306,426.6024774825285,1973.7761226313482,0.01554896667792241,0.02171577736609076,0.0,1.0,1.0,1.0,excluded,nonpositive_local_feature_excess_loss,"[""nonpositive_local_feature_excess_loss"", ""nonpositive_local_feature_excess_loss""]"
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_upper_left,bend,upper_leg|left_upper_leg,0.24229320516510972,10.628120410000001,333.73441249999996,323.10629209,3.1655330813163776,3.693653030693202,0.16683444337454667,7.4625873286836235,6.934467379306799,0.3464801515410949,21.53828235516495,69.9006215643409,436.24305355552013,1966.5485827494267,0.01875914122258516,0.020510976720904323,1.0,1.0,1.0,0.0,fit_used,closure_supported,[]
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_upper_right,bend,right_leg|upper_leg,0.2294842671364168,4.638925369,-336.91720250000026,341.55612786900025,3.2596524329320054,3.247862996722488,0.003616761555236756,1.379272936067994,1.3910623722775115,0.26870712040770484,5.132997391036036,59.824217976089635,431.74327980191447,1969.9220631325047,0.016505750340935856,0.021287648509535732,1.0,1.0,1.0,1.0,fit_used,closure_supported,[]
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,0.25127800000000006,2.3325990725,4811.6822194999995,4814.0148185725,3.5569378464090224,4.299775730580691,0.2088419635759777,-1.2243387739090226,-1.9671766580806922,0.16845604873770448,-7.268001265502171,56.596366284752435,436.677017524417,1966.2232399619445,0.013072124607628782,0.023686226653951963,0.0,1.0,1.0,1.0,excluded,nonpositive_local_feature_excess_loss,"[""nonpositive_local_feature_excess_loss"", ""nonpositive_local_feature_excess_loss""]"
