source_id,case_label,feature_name,feature_class,mean_abs_delta_p_rgh_pa,mean_existing_span_reference_dp_pa,mean_local_boundary_reference_dp_pa,mean_reference_method_gap_fraction,mean_feature_excess_dp_existing_pa,mean_feature_excess_dp_local_pa,fit_use_status
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_lower_left,bend,0.5283361605999998,3.293066332011776,3.358121616061306,0.019372520302823985,-2.764730171411776,-2.8297854554613067,excluded
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_lower_right,bend,2.646708314,3.0688575922533032,3.1442309038862817,0.023971803542976074,-0.4221492782533038,-0.49752258988628195,excluded
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_upper_left,bend,2.4385526680000007,3.3473169301663193,3.16790822490619,0.0566331764568907,-0.9087642621663189,-0.7293555569061895,excluded
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_upper_right,bend,7.842606016600001,3.4540994517465426,3.1082926488212,0.11125383952307207,4.388506564853458,4.7343133677788005,fit_used
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,test_section_complex,quartz_transition,5.078562711400001,4.374036489611531,3.5192654764727855,0.24288335700663266,0.7045262217884686,1.5592972349272145,fit_used
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_lower_left,bend,0.3543893075000004,3.2343693114358647,2.8541251274988686,0.13322617862473715,-2.8799800039358643,-2.499735819998868,excluded
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_lower_right,bend,2.3307559152499997,2.911748317546549,3.2167016320927657,0.09480310103258974,-0.580992402296549,-0.8859457168427664,excluded
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_upper_left,bend,10.628120410000001,3.693653030693202,3.1655330813163776,0.16683444337454667,6.934467379306799,7.4625873286836235,fit_used
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_upper_right,bend,4.638925369,3.247862996722488,3.2596524329320054,0.003616761555236756,1.3910623722775115,1.379272936067994,fit_used
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_complex,quartz_transition,2.3325990725,4.299775730580691,3.5569378464090224,0.2088419635759777,-1.9671766580806922,-1.2243387739090226,excluded
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_lower_left,bend,0.33574365500000036,3.2721768012866064,2.807077743741506,0.1656879858740158,-2.936433146286606,-2.471334088741506,excluded
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_lower_right,bend,2.325679055,2.9509850873052317,3.212143713219837,0.08130353098455238,-0.6253060323052311,-0.8864646582198371,excluded
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_upper_left,bend,12.109459175,3.729902376320653,3.205999646893187,0.16341322118833054,8.379556798679346,8.903459528106813,fit_used
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_upper_right,bend,4.3360210368250005,3.2624339667458626,3.2785977803780924,0.004930099608120921,1.0735870700791372,1.0574232564469077,fit_used
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,test_section_complex,quartz_transition,2.68480077,4.281636817231396,3.558882258887879,0.20308470631151862,-1.5968360472313963,-0.8740814888878793,excluded
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_lower_left,bend,0.4834753445000002,3.36299663534046,3.299145661248049,0.019353792099494276,-2.8795212908404597,-2.8156703167480486,excluded
