sensor,kind,predicted_K,target_K,error_K,abs_error_K,scoreable,score_exclusion_reason,prediction_source_segment,prediction_source_fraction,candidate_id,case,case_id,split_role
TW5,TW,543.745714745552,471.68999999999994,72.05571474555211,72.05571474555211,True,,heated_incline,0.4999999999999988,tswfc2_smoke_salt2_four_node_v1,Salt 2,salt_2,train_nominal
TW6,TW,545.5540541859766,467.02,78.53405418597663,78.53405418597663,True,,heated_incline,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 2,salt_2,train_nominal
TW7,TW,546.5203363414341,453.23,93.29033634143411,93.29033634143411,True,,left_lower_vertical,0.5,tswfc2_smoke_salt2_four_node_v1,Salt 2,salt_2,train_nominal
TW8,TW,546.0455599660545,450.31999999999994,95.72555996605456,95.72555996605456,True,,left_upper_vertical,0.49999999999999994,tswfc2_smoke_salt2_four_node_v1,Salt 2,salt_2,train_nominal
TW9,TW,545.4170425983498,450.66999999999996,94.74704259834982,94.74704259834982,True,,cooled_incline_pre_hx,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 2,salt_2,train_nominal
TP1,TP,562.7941669526448,465.80999999999995,96.98416695264484,96.98416695264484,True,,top_horizontal_exit,0.9999999999999929,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TP2,TP,nan,458.52,nan,nan,False,policy_excluded_tp2_tw10_or_validation,,nan,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TP3,TP,567.2857333595355,459.31999999999994,107.96573335953553,107.96573335953553,True,,left_lower_vertical,0.0,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TP4,TP,566.4430425889182,462.56999999999994,103.87304258891822,103.87304258891822,True,,left_lower_vertical,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TP5,TP,566.7633708955309,463.65,103.11337089553092,103.11337089553092,True,,test_section,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TP6,TP,565.9233135402906,466.46999999999997,99.4533135402906,99.4533135402906,True,,left_upper_vertical,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
