source_id,case_label,family,time_s,span_name,landmark_name,landmark_role,hydraulic_diameter_geom_m,stored_bulk_temp_k,bulk_temp_k,centerline_temp_k,bulk_minus_centerline_temp_k,t_wall_k,bulk_temperature_method
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,right_leg,right_leg_midpoint_midpoint,midpoint,0.022572942718664224,460.1087832393612,460.1087832393612,459.4418302,0.6669530393611467,447.8051737816767,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,right_leg,right_leg_start_TP2,start,0.02006483816963443,449.69192268018037,449.69192268018037,451.315542923077,-1.6236202428966067,446.9667822026483,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,test_section_span,test_section_span_end_TP5,end,0.015192683359365885,459.61042360140266,459.61042360140266,455.79899507692306,3.811428524479595,455.80169470108325,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,test_section_span,test_section_span_midpoint_midpoint,midpoint,0.02202232181632152,459.84504699634726,459.84504699634726,455.45261669230774,4.392430304039522,456.2444682916679,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,test_section_span,test_section_span_start_TP4,start,0.015192683359365662,460.1189788913561,460.1189788913561,455.02547123076926,5.093507660586852,457.61384246445556,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,upper_leg,upper_leg_anchor_TW10,anchor,0.022538145904568013,454.9571315530403,454.9571315530403,457.5685815384616,-2.6114499854213022,438.89514526987205,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,upper_leg,upper_leg_anchor_TW11,anchor,0.023478897116209197,458.18091291641804,458.18091291641804,459.1931086923077,-1.0121957758896656,450.3204773320663,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,upper_leg,upper_leg_anchor_TW9,anchor,0.02347889716530896,451.98375164837086,451.98375164837086,455.04467407692306,-3.060922428552203,441.7222854122722,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,upper_leg,upper_leg_end_TP1,end,nan,nan,nan,455.8202057692307,nan,nan,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,upper_leg,upper_leg_midpoint_midpoint,midpoint,0.022538145904568013,454.9571315530403,454.9571315530403,457.5685839230768,-2.6114523700364884,438.89514526987205,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8598.0,upper_leg,upper_leg_start_TP6,start,nan,nan,nan,457.0902523846153,nan,nan,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_lower_leg,left_lower_leg_anchor_TW7,anchor,0.02034334474934594,460.1625278863391,460.1625278863391,454.735344076923,5.4271838094160785,457.0593800600007,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_lower_leg,left_lower_leg_end_TP4,end,0.025556327022980427,460.11921799310886,460.11921799310886,454.84758069230764,5.271637300801217,457.60555275054196,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_lower_leg,left_lower_leg_midpoint_midpoint,midpoint,0.02034334474934594,460.1625278863391,460.1625278863391,455.2348666923078,4.927661194031316,457.0593800600007,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_lower_leg,left_lower_leg_start_TP3,start,nan,nan,nan,449.70953346153846,nan,nan,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_upper_leg,left_upper_leg_anchor_TW8,anchor,0.022706509601626068,459.4403267360917,459.4403267360917,455.7056803076923,3.734646428399401,456.41785963194775,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_upper_leg,left_upper_leg_end_TP6,end,nan,nan,nan,457.2108443076923,nan,nan,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
