source_id,case_label,family,time_sample_count,leg_count_per_time,mean_loop_enthalpy_change_w,mean_loop_wall_heat_total_w,mean_loop_enthalpy_minus_wall_heat_w,max_abs_loop_enthalpy_minus_wall_heat_w,sum_over_time_enthalpy_change_w,sum_over_time_wall_heat_total_w,sum_over_time_enthalpy_minus_wall_heat_w
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,5,6,-188.77709688365192,41.119151444541636,-229.8962483281936,230.01059697582002,-943.8854844182596,205.5957572227082,-1149.481241640968
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,4,6,-174.85619830791734,24.91644761007199,-199.7726459179894,199.7803838039377,-699.4247932316694,99.66579044028796,-799.0905836719576
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,4,6,-175.1364347224095,24.906158478011285,-200.0425932004208,200.04267759168988,-700.545738889638,99.62463391204514,-800.1703728016832
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,4,6,-190.19106084071123,39.76117434054419,-229.95223518125547,230.0513976772561,-760.7642433628449,159.04469736217675,-919.8089407250219
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,4,6,-191.81721383334792,40.75710150271304,-232.5743153360609,232.57439069877842,-767.2688553333917,163.02840601085217,-930.2972613442436
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,4,6,-207.92086798666105,44.36196336805682,-252.28283135471787,252.37260987767166,-831.6834719466442,177.44785347222728,-1009.1313254188715
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,salt,4,6,-209.0388844557249,44.06407102657528,-253.10295548230016,253.31642842739006,-836.1555378228996,176.2562841063011,-1012.4118219292006
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,salt,4,6,-226.36989784335273,49.229149223564825,-275.5990470669176,276.2539347370078,-905.4795913734109,196.9165968942593,-1102.3961882676704
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,salt,4,6,-229.58534051807555,48.957402359883275,-278.5427428779588,278.9019267444005,-918.3413620723022,195.8296094395331,-1114.1709715118352
val_water_test_1_coarse_mesh_laminar,Water 1,water,5,6,30.17417568643311,6.346912903601189,23.82726278283191,28.200522268992927,150.87087843216554,31.734564518005946,119.13631391415954
val_water_test_2_coarse_mesh_laminar,Water 2,water,5,6,149.7313466311406,7.870616160874709,141.86073047026588,153.1606613351398,748.656733155703,39.35308080437355,709.3036523513293
val_water_test_3_coarse_mesh_laminar,Water 3,water,5,6,168.94844161328467,9.315781042252933,159.63266057103172,167.44901014036424,844.7422080664234,46.57890521126466,798.1633028551586
val_water_test_4_coarse_mesh_laminar,Water 4,water,5,6,176.75349545524946,13.399429119656457,155.8669359409567,202.0022768619422,883.7674772762473,66.99714559828229,779.3346797047835
