source_id,case_label,case_order,feature_name,feature_class,adjacent_major_spans,time_s,start_patch,end_patch,dp_feature_p_pa,dp_feature_p_abs_pa,dp_feature_prgh_pa,dp_feature_prgh_abs_pa,dp_feature_hydro_path_pa,dp_feature_hydro_path_abs_pa,proxy_raw_delta_p_pa,proxy_raw_abs_delta_p_rgh_pa,path_vs_proxy_delta_p_residual_pa,path_vs_proxy_delta_p_rgh_residual_pa,local_boundary_reference_dp_pa,existing_span_reference_dp_pa,feature_excess_path_pa,feature_excess_existing_pa,reference_method_gap_fraction,dynamic_head_local_pa,keff_effective_path,support_fraction,re_effective,rho_effective_kg_m3,bulk_velocity_effective_m_s,hydraulic_diameter_geom_m,property_temperature_k,window_hydro_correction_abs_pa,window_vs_path_hydro_gap_fraction,pressure_method_status,reference_method_status,warning_flag,warning_note
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_left,bend,left_lower_leg|lower_leg,8598.0,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,338.534282494,338.534282494,0.5283559499999999,0.5283559499999999,338.00592654400003,338.00592654400003,338.534282494,0.5283559499999999,0.0,0.0,3.3582291447834747,3.2930392841766487,-2.8298731947834748,-2.764683334176649,0.019411975120306794,0.4568073537648217,-6.194894130886474,1.0,111.83245966131348,1948.9974663433586,0.021619609084926807,0.021018995802395968,459.6539064380968,370.07713280770685,0.09488356192929633,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=negative_minor_residual.
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_left,bend,left_lower_leg|lower_leg,8599.0,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,338.534306715,338.534306715,0.5283679699999997,0.5283679699999997,338.00593874500004,338.00593874500004,338.534306715,0.5283679699999997,0.0,0.0,3.358189702502941,3.2929008826899993,-2.8298217325029413,-2.7645329126899996,0.019441671137363208,0.4568051472026547,-6.194811397883688,1.0,111.83231528264935,1948.9975607044637,0.021619613427019454,0.021018995802395968,459.65378057294413,370.0771129168738,0.094883463559701,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=negative_minor_residual.
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_left,bend,left_lower_leg|lower_leg,8600.0,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,338.534315752,338.534315752,0.5283638870000003,0.5283638870000003,338.005951865,338.005951865,338.534315752,0.5283638870000003,0.0,0.0,3.3581352684848245,3.292983484312749,-2.829771381484824,-2.7646195973127488,0.019401179214996796,0.45681347131512756,-6.19458829298127,1.0,111.8334419713982,1948.9975577972784,0.021619830246688503,0.021018995802395968,459.6537844507422,370.07711239492903,0.09488341951664303,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=negative_minor_residual.
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_left,bend,left_lower_leg|lower_leg,8601.0,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,338.53429974,338.53429974,0.5283406679999993,0.5283406679999993,338.005959072,338.005959072,338.53429974,0.5283406679999993,0.0,0.0,3.3580781125472816,3.2931890214268806,-2.8297374445472823,-2.7648483534268813,0.01932328223037645,0.45680767805306977,-6.194592561595553,1.0,111.832816171042,1948.997522286795,0.021619697127999604,0.021018995802395968,459.6538318170001,370.0771168915957,0.09488340947493212,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=negative_minor_residual.
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_left,bend,left_lower_leg|lower_leg,8602.0,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,338.534217651,338.534217651,0.5282523279999998,0.5282523279999998,338.005965323,338.005965323,338.534217651,0.5282523279999998,0.0,0.0,3.35797585198801,3.2932189874526023,-2.8297235239880103,-2.7649666594526026,0.019284493811076685,0.45677417355573513,-6.195016460672837,1.0,111.8286246981056,1948.997568151905,0.021618902502467542,0.021018995802395968,459.65377063904884,370.07711600985954,0.09488338661778412,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=negative_minor_residual.
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_right,bend,lower_leg|right_leg,8598.0,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,-337.8426709999994,337.8426709999994,2.644820255,2.644820255,-340.48749125499944,340.48749125499944,-337.8426709999994,2.644820255,0.0,0.0,3.1456623860942567,3.069029973892091,-0.5008421310942568,-0.424209718892091,0.024361295904140157,0.35590103870169515,-1.4072511081206667,1.0,91.4441686722827,1955.6583174701955,0.01907938581744462,0.02171577736609076,450.7692177268299,353.0836682100192,0.03699453659396307,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_right,bend,lower_leg|right_leg,8599.0,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,-337.8410530000001,337.8410530000001,2.627628303,2.627628303,-340.4686813030001,340.4686813030001,-337.8410530000001,2.627628303,0.0,0.0,3.1450905008433327,3.06875037741168,-0.5174621978433329,-0.4411220744116804,0.024272790691136706,0.3558991454648334,-1.4539574046110308,1.0,91.44445591548534,1955.6582727672399,0.01907943133419887,0.02171577736609076,450.7692773546221,353.1015280991619,0.037104284446413435,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_right,bend,lower_leg|right_leg,8600.0,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,-337.83949399999983,337.83949399999983,2.6538092179999992,2.6538092179999992,-340.4933032179998,340.4933032179998,-337.83949399999983,2.6538092179999992,0.0,0.0,3.144449946900607,3.068714812805469,-0.49064072890060784,-0.41490559480546985,0.024085336187267953,0.35590948021695445,-1.3785548184935232,1.0,91.44768018777128,1955.657144311897,0.019079740167682147,0.02171577736609076,450.7707825638294,353.0898016081277,0.03699484915291562,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_right,bend,lower_leg|right_leg,8601.0,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,-337.8390810000001,337.8390810000001,2.656671467,2.656671467,-340.4957524670001,340.4957524670001,-337.8390810000001,2.656671467,0.0,0.0,3.1436322716747314,3.0688662601806205,-0.4869608046747316,-0.4121947931806207,0.023783319750143746,0.35590757116549127,-1.3682226626426632,1.0,91.44917013636238,1955.6560357441736,0.019079693555379054,0.02171577736609076,450.7722612456,353.086577827117,0.03697792195318851,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_right,bend,lower_leg|right_leg,8602.0,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,-337.8394590000007,337.8394590000007,2.650612327,2.650612327,-340.4900713270007,340.4900713270007,-337.8394590000007,2.650612327,0.0,0.0,3.142319413918481,3.068926536976657,-0.49170708691848075,-0.418314209976657,0.02335627518219181,0.35588105172658174,-1.3816613290674777,1.0,91.44358610550724,1955.6574098078838,0.01907897158416383,0.02171577736609076,450.77042842752576,353.0885325606007,0.037000965063385544,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
